Riichi counts,sanmenchan+,ryanmen,single,honor,Win,sanmenchan+,ryanmen,single,honor,Draw,sanmenchan+,ryanmen,single,honor,Dealin,sanmenchan+,ryanmen,single,honor,,,,,,,,,,,,,
17,34,154,95,20,17,3,25,12,3,17,18,95,57,14,17,3,12,6,1,,0.141914191,,,,,,,,,,,
18,1,11,7,1,18,0,4,2,0,18,1,7,2,1,18,0,0,0,0,,0.3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oioikake Riichi counts,sanmenchan+,ryanmen,single,honor,Win,sanmenchan+,ryanmen,single,honor,Draw,sanmenchan+,ryanmen,single,honor,Dealin,sanmenchan+,ryanmen,single,honor,,,,,,,,,,,,,
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,,,,,,,,,,,,,
3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,,,,,,,,,,,,,
4,1,3,2,0,4,0,2,0,0,4,0,0,0,0,4,1,0,1,0,,0.333333333,,,,,,,,,,,
5,2,9,4,1,5,1,3,1,0,5,0,0,0,0,5,1,2,2,1,,0.3125,,,,,,,,,,,
6,7,24,7,2,6,5,9,3,0,6,0,0,0,0,6,0,1,0,1,,0.425,,,,,,,,,,,
7,10,68,23,5,7,4,24,7,3,7,0,0,0,0,7,2,7,5,0,,0.358490566,,,,,,,,,,,
8,16,99,50,12,8,8,38,8,1,8,0,1,0,0,8,2,20,8,4,,0.310734463,,,,,,,,,,,
9,28,170,65,22,9,15,59,11,6,9,0,1,0,0,9,3,20,12,3,,0.319298246,,,,,,,,,,,
10,31,218,74,16,10,13,69,19,9,10,0,2,3,0,10,7,36,13,3,,0.324483776,,,,,,,,,,,
11,28,252,84,20,11,9,79,22,9,11,0,2,2,0,11,4,37,15,1,,0.309895833,,,,,,,,,,,
12,32,245,95,18,12,11,83,21,5,12,2,7,8,0,12,2,41,17,2,,0.307692308,,,,,,,,,,,
13,35,200,71,6,13,15,68,18,1,13,1,18,8,0,13,4,25,10,1,,0.326923077,,,,,,,,,,,
14,16,148,63,7,14,3,53,12,1,14,2,14,11,1,14,2,16,9,2,,0.294871795,,,,,,,,,,,
15,17,95,38,5,15,6,32,8,2,15,4,10,6,2,15,1,10,6,1,,0.309677419,,,,,,,,,,,
16,5,39,21,1,16,3,9,1,0,16,1,9,5,1,16,0,6,5,0,,0.196969697,,,,,,,,,,,
17,3,3,6,0,17,0,0,0,0,17,1,3,4,0,17,2,0,2,0,,0,,,,,,,,,,,
18,0,0,0,0,18,0,0,0,0,18,0,0,0,0,18,0,0,0,0,,#DIV/0!,,,,,,,,,,,
