honitsu,1,2,3,
2,,0.277321564,0.534383224,0.342663274
3,,0.360461384,0.560492681,0.262387387
4,,0.42960319,0.542701165,0.221936038
5,,0.475927653,0.512245395,0.17064531
6,,0.502249193,0.462834736,0.130168254
7,,0.504214939,0.416170972,0.10874919
8,,0.49505987,0.373245338,0.091280257
9,,0.475435458,0.335043939,0.077688218
10,,0.459475247,0.293176112,0.067346505
11,,0.454703161,0.269616817,0.063835851
12,,0.43845107,0.252135623,0.077076677
13,,0.414379887,0.249883068,0.070630081
14,,0.376689407,0.241892527,0.089655172
15,,0.335468236,0.231621349,0.099044309
16,,0.297699758,0.206921765,0.090342679
17,,0.214452214,0.152597403,0.087741935
18,,0.17326363,0.130761994,0.064864865
justcalled,0,1,2,3
0,0,107125,3356,80
1,0,131163,11615,353
2,0,141381,23558,1179
3,0,140187,36616,2664
4,0,131675,47809,4659
5,0,119037,53367,6493
6,0,103815,52280,7667
7,0,86834,47072,7715
8,0,69735,38184,6858
9,0,53105,29814,5831
10,0,41086,22304,4707
11,0,31128,15841,3509
12,0,24249,11355,2504
13,0,19569,8552,1968
14,0,15538,6383,1450
15,0,11554,4965,1151
16,0,8260,4103,963
17,0,4719,2772,775
18,0,1339,1063,370
safetile,0,1,2,3
0,3.92E-05,0.002227171,0,
1,0.000341229,0.007354464,0.098445596,
2,0.000773352,0.015988877,0.108775137,0.4
3,0.001550616,0.028426682,0.137475728,0.230769231
4,0.003256993,0.052158176,0.173308371,0.416666667
5,0.006915787,0.07631204,0.221979939,0.416107383
6,0.013107629,0.107694429,0.252664212,0.430167598
7,0.022255792,0.1402997,0.280022984,0.435779817
8,0.032966859,0.170433102,0.298498955,0.523012552
9,0.043695132,0.185475957,0.303687636,0.512077295
10,0.052343199,0.190834252,0.313984169,0.517073171
11,0.058628637,0.197296877,0.297532656,0.4375
12,0.061043075,0.194639802,0.267557383,0.45410628
13,0.062317521,0.182577839,0.269335406,0.417431193
14,0.055091471,0.180638862,0.24145891,0.415
15,0.057491198,0.161335431,0.215545755,0.416666667
16,0.050632107,0.152688172,0.227590221,0.393442623
17,0.043293116,0.133743274,0.209286676,0.375
18,0.033084005,0.107142857,0.211048159,0.397058824
safetile 1s,0,1,2,3
0,0.017969557,0.128062361,0.428571429,
1,0.037150355,0.12590636,0.440414508,
2,0.060266784,0.186160352,0.481718464,0.4
3,0.090789736,0.248727068,0.509514563,0.730769231
4,0.134466058,0.310410026,0.551216903,0.555555556
5,0.190477963,0.380923506,0.553205408,0.516778523
6,0.258384584,0.430432984,0.570044565,0.525139665
7,0.32421384,0.466533467,0.57383643,0.52293578
8,0.381032983,0.490633774,0.562226867,0.456066946
9,0.417198723,0.506433322,0.562689805,0.473429952
10,0.434602134,0.512931873,0.557687695,0.448780488
11,0.440813166,0.52369116,0.573004354,0.528846154
12,0.430989645,0.522904391,0.575196985,0.487922705
13,0.412739773,0.52827381,0.583365721,0.52293578
14,0.387979283,0.521272144,0.595106187,0.545
15,0.346471176,0.50131096,0.617420066,0.522222222
16,0.289879931,0.469032258,0.559371362,0.551912568
17,0.249467708,0.42685114,0.534320323,0.547619048
18,0.22410817,0.394230769,0.467422096,0.536764706
safetile,0,1,2,3
0,2219476,898,7,0
1,1740764,19308,193,0
2,1316347,34524,1094,5
3,908671,39083,2575,52
4,590729,37022,3739,72
5,376096,32983,4586,149
6,248939,29008,5161,179
7,173438,25025,5221,218
8,126430,21727,5263,239
9,95228,18342,4610,207
10,72273,15427,4169,205
11,55536,12874,3445,208
12,42298,10522,2919,207
13,31853,8736,2573,218
14,23942,7169,2166,200
15,19029,5721,1814,180
16,15741,4650,1718,183
17,11272,3903,1486,168
18,3476,1456,706,136
normaltile,0,1,2,3
0,0.00015689,0.011026293,0.181818182,
1,0.001416327,0.014394072,0.097731239,0.5
2,0.003920554,0.033121857,0.142934931,0.4
3,0.008020359,0.061261707,0.201235955,0.547486034
4,0.013883467,0.095048316,0.260192544,0.598654709
5,0.021791555,0.131864061,0.30830095,0.687420584
6,0.031873832,0.171902109,0.356173623,0.703930131
7,0.044433482,0.207728239,0.401337154,0.760573477
8,0.057740969,0.242421612,0.444462222,0.795620438
9,0.071371477,0.27195968,0.462388784,0.773801917
10,0.083354168,0.295527555,0.475177676,0.748409894
11,0.095529375,0.307157659,0.475736568,0.737728938
12,0.10430839,0.317186033,0.480875912,0.699755899
